radius (m),length (m),x,y,z,axis_direction,,,branch,branch_order
0.021,0.0408,-26.026,131.513,160.627,-0.0527,0.0849,0.995,14,2
0.0144,0.2036,-26.0186,131.505,160.665,0.2904,-0.0015,0.9569,14,2
0.0105,0.1216,-25.9856,131.507,160.867,0.2591,0.0842,0.9622,14,2
0.0076,0.0681,-25.9439,131.512,160.982,0.2232,0.136,0.9652,14,2
0.0079,0.0734,-25.9342,131.524,161.049,0.2467,0.0857,0.9653,14,2
0.0067,0.0957,-25.914,131.53,161.119,0.2184,0.0845,0.9722,14,2
0.0092,0.0509,-25.8986,131.538,161.213,0.2002,0.0759,0.9768,14,2
0.0132,0.0559,-25.8884,131.535,161.265,0.1623,0.2446,0.956,14,2
0.0121,0.0935,-25.8755,131.552,161.318,-0.0111,-0.1055,0.9944,14,2
0.0021,0.0882,-25.8777,131.523,161.406,-0.1642,-0.2573,0.9523,14,2
